Building Address,Under 5 years,Under 5 years,5 to 9 years,5 to 9 years,10 to 14 years,10 to 14 years,15 to 19 years,15 to 19 years,20 to 24 years,20 to 24 years,25 to 34 years,25 to 34 years,35 to 44 years,35 to 44 years,45 to 54 years,45 to 54 years,55 to 59 years,55 to 59 years,60 to 64 years,60 to 64 years,65 to 74 years,65 to 74 years,75 to 84 years,75 to 84 years,85 years and over,85 years and over,Single Senior only,Single Senior only,2+ Seniors only,2+ Seniors only,Single non-senior,Single non-senior,"Couple, no child(ren)","Couple, no child(ren)",2 parents + child(ren) <18,2 parents + child(ren) <18,2 parents + child(ren)>=18,2 parents + child(ren)>=18,Single parent + child(ren)<18,Single parent + child(ren)<18,Single parent + child(ren)>=18,Single parent + child(ren)>=18,Single grandparent + child(ren)<18,Single grandparent + child(ren)<18,Single grandparent + child(ren)>=18,Single grandparent + child(ren)>=18,Other + child(ren)<18,Other + child(ren)<18,"Other, no child(ren)<18","Other, no child(ren)<18",Employment ,Employment ,Own Business,Own Business,Unemployment Insurance,Unemployment Insurance,Public Assistance,Public Assistance,Social Security,Social Security,SSI,SSI,VA Benefits,VA Benefits,Pension,Pension,Child Support,Child Support,Other,Other,Non-Verifiable,Non-Verifiable,Non-Verifiable only,Non-Verifiable only
BORINQUEN PLAZA I,36,3%,68,6%,94,8%,128,11%,105,9%,96,8%,98,8%,120,10%,58,5%,36,3%,192,16%,109,9%,25,2%,171,34%,32,6%,52,10%,11,2%,32,6%,11,2%,59,12%,80,16%,19,4%,12,2%,19,4%,8,2%,164,32%,1,0%,20,4%,45,9%,271,54%,206,41%,3,1%,65,13%,8,2%,36,7%,6,1%,1,0%
BORINQUEN PLAZA II,41,3%,65,6%,102,9%,135,11%,161,14%,139,12%,91,8%,150,13%,66,6%,51,4%,102,9%,55,5%,16,1%,56,13%,21,5%,42,10%,5,1%,16,4%,19,4%,76,18%,98,23%,37,9%,20,5%,21,5%,12,3%,202,48%,0,0%,18,4%,56,13%,168,40%,168,40%,2,0%,31,7%,12,3%,24,6%,5,1%,1,0%
BOSTON ROAD PLAZA,0,0%,0,0%,0,0%,0,0%,0,0%,1,0%,2,1%,0,0%,4,1%,11,4%,109,40%,115,42%,32,12%,186,80%,38,16%,4,2%,3,1%,0,0%,0,0%,0,0%,0,0%,0,0%,1,0%,0,0%,0,0%,14,6%,0,0%,1,0%,4,2%,173,75%,103,44%,1,0%,66,28%,0,0%,0,0%,4,2%,,0%
BOSTON SECOR,90,7%,116,9%,146,11%,160,12%,139,10%,160,12%,133,10%,164,12%,63,5%,44,3%,70,5%,44,3%,19,1%,71,13%,14,3%,98,18%,6,1%,30,6%,10,2%,162,30%,80,15%,23,4%,8,2%,18,3%,12,2%,255,48%,0,0%,26,5%,75,14%,171,32%,164,31%,1,0%,30,6%,6,1%,35,7%,0,0%,,0%
BOYNTON AVENUE REHAB,15,8%,13,7%,17,9%,30,15%,18,9%,27,14%,17,9%,24,12%,11,6%,10,5%,13,7%,3,2%,1,1%,11,13%,0,0%,11,13%,0,0%,2,2%,1,1%,27,33%,20,24%,1,1%,0,0%,6,7%,3,4%,49,60%,0,0%,4,5%,10,12%,16,20%,27,33%,0,0%,2,2%,0,0%,3,4%,4,5%,2,2%
BRACETTI PLAZA,5,2%,15,6%,15,6%,18,7%,34,12%,33,12%,17,6%,32,12%,24,9%,20,7%,33,12%,20,7%,6,2%,17,16%,5,5%,12,11%,2,2%,5,5%,7,7%,6,6%,26,25%,9,8%,2,2%,5,5%,10,9%,54,51%,0,0%,7,7%,8,8%,60,57%,45,42%,2,2%,10,9%,0,0%,5,5%,2,2%,,0%
BREUKELEN,160,4%,288,8%,364,10%,400,11%,356,10%,417,12%,379,10%,402,11%,212,6%,170,5%,283,8%,136,4%,44,1%,298,19%,33,2%,223,14%,15,1%,43,3%,21,1%,445,28%,309,20%,66,4%,27,2%,47,3%,36,2%,681,44%,0,0%,79,5%,153,10%,485,31%,353,23%,13,1%,132,8%,42,3%,56,4%,48,3%,22,1%
BREVOORT,85,4%,155,8%,165,8%,203,10%,228,11%,227,11%,203,10%,244,12%,107,5%,87,4%,159,8%,90,5%,45,2%,172,19%,15,2%,130,15%,6,1%,13,1%,14,2%,227,26%,176,20%,45,5%,32,4%,28,3%,30,3%,383,43%,0,0%,59,7%,115,13%,317,36%,234,26%,11,1%,107,12%,13,1%,36,4%,13,1%,9,1%
BRONX RIVER,159,5%,239,8%,310,10%,378,12%,316,10%,291,10%,301,10%,359,12%,159,5%,129,4%,227,7%,116,4%,47,2%,228,18%,33,3%,198,16%,14,1%,45,4%,20,2%,315,25%,208,17%,44,4%,17,1%,73,6%,41,3%,524,42%,3,0%,70,6%,174,14%,413,33%,427,35%,1,0%,81,7%,28,2%,23,2%,52,4%,22,2%
BRONX RIVER ADDITION,2,1%,1,0%,1,0%,0,0%,0,0%,1,0%,0,0%,2,1%,0,0%,5,2%,101,42%,102,43%,23,10%,214,96%,8,4%,0,0%,0,0%,2,1%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,7,3%,0,0%,1,0%,2,1%,151,67%,136,61%,2,1%,24,11%,0,0%,3,1%,2,1%,,0%
BROWN,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,1,0%,1,0%,3,1%,99,46%,80,37%,32,15%,182,91%,14,7%,0,0%,3,2%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,19,10%,0,0%,1,1%,3,2%,159,80%,75,38%,1,1%,57,29%,0,0%,6,3%,0,0%,,0%
BROWNSVILLE,184,6%,262,8%,332,10%,401,12%,386,12%,355,11%,351,11%,410,12%,178,5%,129,4%,190,6%,84,3%,32,1%,176,13%,18,1%,210,16%,11,1%,56,4%,24,2%,374,28%,267,20%,91,7%,21,2%,30,2%,38,3%,620,47%,2,0%,74,6%,220,17%,367,28%,365,28%,1,0%,73,6%,40,3%,37,3%,41,3%,19,1%
BRYANT AVENUE-EAST 174TH STREET,5,4%,12,9%,7,5%,12,9%,8,6%,8,6%,19,14%,17,13%,14,11%,8,6%,16,12%,5,4%,2,2%,17,24%,3,4%,21,29%,1,1%,1,1%,1,1%,11,15%,8,11%,2,3%,2,3%,4,6%,1,1%,29,40%,0,0%,3,4%,6,8%,24,33%,22,31%,1,1%,7,10%,1,1%,7,10%,2,3%,,0%
BUSHWICK,159,6%,261,9%,265,9%,292,10%,262,9%,363,13%,254,9%,316,11%,142,5%,140,5%,247,9%,120,4%,44,2%,238,20%,35,3%,178,15%,15,1%,46,4%,24,2%,290,24%,189,16%,90,8%,16,1%,32,3%,31,3%,465,39%,4,0%,72,6%,167,14%,443,37%,443,37%,10,1%,84,7%,45,4%,20,2%,44,4%,11,1%
BUTLER,271,6%,473,11%,490,11%,615,14%,455,10%,399,9%,415,10%,528,12%,187,4%,119,3%,250,6%,113,3%,23,1%,182,12%,35,2%,186,13%,23,2%,149,10%,33,2%,447,30%,215,15%,77,5%,24,2%,60,4%,38,3%,749,51%,0,0%,95,6%,223,15%,370,25%,457,31%,6,0%,67,5%,69,5%,23,2%,26,2%,14,1%
CAMPOS PLAZA II,20,4%,33,6%,40,8%,48,9%,39,7%,55,10%,51,10%,56,11%,40,8%,36,7%,60,11%,39,7%,13,2%,37,17%,18,8%,33,15%,11,5%,12,5%,9,4%,30,13%,37,17%,9,4%,5,2%,12,5%,10,4%,115,52%,0,0%,9,4%,14,6%,102,46%,79,35%,0,0%,24,11%,6,3%,38,17%,2,1%,,0%
CAREY GARDENS,85,5%,126,7%,133,8%,182,11%,200,12%,179,11%,113,7%,176,10%,95,6%,84,5%,172,10%,104,6%,32,2%,141,21%,59,9%,102,15%,25,4%,32,5%,11,2%,116,17%,90,13%,44,7%,17,3%,20,3%,18,3%,240,36%,1,0%,47,7%,97,14%,193,29%,300,44%,3,0%,45,7%,10,1%,7,1%,31,5%,16,2%
CARLETON MANOR,27,7%,38,10%,26,7%,29,8%,40,11%,44,12%,35,10%,46,13%,21,6%,15,4%,24,7%,17,5%,1,0%,27,16%,3,2%,35,21%,6,4%,4,2%,6,4%,51,31%,19,11%,9,5%,0,0%,2,1%,4,2%,68,41%,0,0%,11,7%,32,19%,46,28%,56,34%,2,1%,9,5%,8,5%,0,0%,5,3%,3,2%
CARVER,124,4%,176,6%,235,8%,268,10%,300,11%,261,9%,271,10%,345,12%,186,7%,156,6%,218,8%,162,6%,71,3%,243,20%,51,4%,226,18%,18,1%,56,5%,34,3%,249,20%,229,18%,54,4%,18,1%,27,2%,37,3%,559,45%,0,0%,45,4%,110,9%,464,37%,407,33%,8,1%,143,12%,32,3%,29,2%,42,3%,12,1%
CASSIDY-LAFAYETTE,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,1,0%,1,0%,15,4%,197,49%,148,37%,36,9%,316,89%,38,11%,0,0%,1,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,2,1%,15,4%,0,0%,0,0%,13,4%,243,68%,182,51%,3,1%,67,19%,0,0%,0,0%,23,6%,1,0%
CASTLE HILL,299,6%,440,9%,535,11%,612,12%,518,10%,506,10%,490,10%,546,11%,260,5%,215,4%,376,7%,183,4%,37,1%,357,18%,53,3%,304,15%,23,1%,88,4%,32,2%,557,28%,319,16%,106,5%,34,2%,63,3%,43,2%,806,41%,2,0%,102,5%,286,14%,641,32%,722,36%,16,1%,120,6%,108,5%,74,4%,46,2%,22,1%
CHELSEA,39,4%,52,6%,81,9%,82,9%,75,8%,87,9%,97,10%,110,12%,59,6%,62,7%,107,12%,53,6%,21,2%,99,23%,26,6%,71,17%,8,2%,15,4%,17,4%,80,19%,61,14%,17,4%,3,1%,12,3%,13,3%,176,42%,5,1%,25,6%,42,10%,176,42%,131,31%,1,0%,52,12%,17,4%,57,14%,4,1%,1,0%
CHELSEA ADDITION,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,5,5%,41,37%,47,42%,18,16%,77,82%,16,17%,0,0%,1,1%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,7,7%,0,0%,1,1%,3,3%,73,78%,44,47%,1,1%,19,20%,0,0%,12,13%,0,0%,,0%
CLAREMONT PARKWAY-FRANKLIN AVENUE,5,2%,11,4%,15,5%,17,6%,14,5%,22,8%,16,6%,25,9%,15,5%,19,7%,62,21%,52,18%,17,6%,99,53%,15,8%,23,12%,5,3%,3,2%,2,1%,20,11%,10,5%,4,2%,1,1%,1,1%,3,2%,50,27%,0,0%,3,2%,9,5%,103,55%,74,40%,3,2%,19,10%,1,1%,9,5%,1,1%,,0%
CLAREMONT REHAB (GROUP 2),23,8%,31,11%,34,12%,26,9%,27,10%,32,12%,35,13%,28,10%,5,2%,8,3%,20,7%,5,2%,0,0%,12,11%,3,3%,9,9%,6,6%,5,5%,1,1%,45,43%,13,12%,7,7%,0,0%,2,2%,2,2%,58,55%,0,0%,2,2%,20,19%,24,23%,32,30%,0,0%,0,0%,6,6%,1,1%,3,3%,,0%
CLAREMONT REHAB (GROUP 3),23,9%,32,12%,27,10%,24,9%,23,9%,41,15%,23,9%,26,10%,14,5%,13,5%,14,5%,4,2%,2,1%,11,11%,2,2%,13,12%,2,2%,6,6%,2,2%,38,37%,18,17%,5,5%,2,2%,2,2%,3,3%,64,62%,0,0%,5,5%,15,14%,21,20%,21,20%,0,0%,6,6%,9,9%,1,1%,6,6%,1,1%
CLAREMONT REHAB (GROUP 4),25,7%,32,9%,30,9%,38,11%,35,10%,44,13%,38,11%,43,13%,11,3%,8,2%,23,7%,11,3%,1,0%,17,12%,4,3%,17,12%,2,1%,5,3%,2,1%,52,36%,31,21%,10,7%,2,1%,2,1%,1,1%,67,46%,1,1%,12,8%,26,18%,30,21%,45,31%,0,0%,5,3%,9,6%,3,2%,5,3%,2,1%
CLAREMONT REHAB (GROUP 5),24,7%,30,9%,29,9%,28,9%,40,12%,41,13%,32,10%,37,12%,18,6%,18,6%,19,6%,5,2%,0,0%,11,9%,2,2%,13,10%,9,7%,6,5%,2,2%,41,32%,29,22%,9,7%,3,2%,1,1%,3,2%,76,59%,0,0%,9,7%,18,14%,24,19%,46,36%,1,1%,4,3%,1,1%,3,2%,4,3%,1,1%
CLASON POINT GARDENS,29,3%,56,6%,64,7%,95,11%,87,10%,97,11%,76,9%,88,10%,53,6%,50,6%,100,11%,65,7%,11,1%,108,27%,19,5%,48,12%,3,1%,17,4%,11,3%,81,20%,78,19%,9,2%,5,1%,11,3%,11,3%,163,41%,0,0%,20,5%,48,12%,164,41%,109,27%,5,1%,52,13%,0,0%,34,8%,2,0%,,0%
CLINTON,85,5%,134,7%,167,9%,185,10%,187,10%,184,10%,169,9%,206,11%,123,7%,83,5%,149,8%,97,5%,43,2%,152,21%,30,4%,102,14%,7,1%,32,4%,30,4%,163,22%,112,15%,44,6%,13,2%,31,4%,24,3%,300,41%,7,1%,47,6%,84,11%,314,42%,244,33%,3,0%,80,11%,7,1%,38,5%,9,1%,4,1%
COLLEGE AVENUE-EAST 165TH STREET,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,2,2%,1,1%,3,3%,51,52%,35,36%,6,6%,88,94%,2,2%,2,2%,2,2%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,4,4%,0,0%,0,0%,1,1%,63,67%,66,70%,2,2%,12,13%,0,0%,0,0%,1,1%,,0%
CONEY ISLAND,59,5%,75,6%,84,7%,107,9%,103,9%,134,11%,118,10%,147,12%,72,6%,93,8%,110,9%,70,6%,11,1%,95,18%,31,6%,73,14%,15,3%,22,4%,19,4%,115,22%,100,19%,15,3%,9,2%,8,2%,20,4%,222,43%,0,0%,28,5%,54,10%,171,33%,178,34%,4,1%,61,12%,7,1%,18,3%,10,2%,7,1%
CONEY ISLAND I (SITE 1B),26,5%,45,9%,34,7%,53,10%,71,14%,55,11%,43,8%,63,12%,25,5%,28,5%,40,8%,26,5%,4,1%,29,15%,10,5%,22,12%,4,2%,12,6%,8,4%,34,18%,28,15%,20,11%,6,3%,7,4%,8,4%,83,44%,0,0%,12,6%,23,12%,57,30%,75,40%,3,2%,11,6%,4,2%,4,2%,8,4%,4,2%
CONEY ISLAND I (SITE 8),14,4%,30,8%,43,12%,48,13%,42,12%,39,11%,35,10%,49,14%,12,3%,14,4%,17,5%,12,3%,1,0%,12,10%,1,1%,15,12%,2,2%,6,5%,4,3%,41,34%,19,16%,4,3%,1,1%,9,7%,7,6%,56,46%,0,0%,8,7%,19,16%,38,31%,34,28%,0,0%,8,7%,5,4%,2,2%,7,6%,,0%
CONEY ISLAND I (SITES 4 & 5),58,5%,77,7%,119,11%,165,15%,121,11%,102,9%,103,10%,141,13%,73,7%,36,3%,56,5%,27,2%,2,0%,32,9%,10,3%,56,15%,9,2%,31,8%,17,5%,104,28%,59,16%,24,6%,7,2%,13,3%,11,3%,183,49%,0,0%,36,10%,69,18%,95,25%,123,33%,1,0%,25,7%,11,3%,18,5%,8,2%,4,1%
CONLON LIHFE TOWERS,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,1,0%,1,0%,1,0%,14,6%,102,44%,85,37%,26,11%,183,87%,17,8%,7,3%,1,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,2,1%,14,7%,1,0%,0,0%,1,0%,172,82%,94,45%,2,1%,49,23%,0,0%,5,2%,0,0%,,0%
COOPER PARK,86,5%,111,7%,119,8%,161,10%,141,9%,191,12%,155,10%,187,12%,113,7%,83,5%,131,8%,85,5%,22,1%,104,15%,26,4%,113,16%,19,3%,23,3%,9,1%,150,22%,130,19%,43,6%,18,3%,28,4%,28,4%,307,44%,0,0%,32,5%,72,10%,253,37%,219,32%,5,1%,58,8%,8,1%,28,4%,17,2%,8,1%
